,abstract,bands,circle,figure,gestural,grid,landscape,portrait,rectangle,repetition,shape,square,still_life,symmetry,label,range_Blue,stdev_Blue,skew_Blue,range_Green,stdev_Green,skew_Green,range_Red,stdev_Red,skew_Red,range_Hue,stdev_Hue,skew_Hue,range_Saturation,stdev_Saturation,skew_Saturation,range_Value,stdev_Value,skew_Value
1947.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.01,portrait,5.0,1.1075028,1.4881128072738647,4.0,1.1110243,1.427010178565979,6.0,1.1215224,1.6323751211166382,6.0,1.1825554,1.938090443611145,8.0,1.3317047,2.59761118888855,9.0,1.3258252,2.6775777339935303
1947.003,0.03,0.0,0.0,0.0,0.0,0.0,0.0,99.96,0.0,0.0,0.0,0.0,0.01,0.0,portrait,6.0,1.25,1.8480000495910645,7.0,1.3110111,1.97626793384552,5.0,1.21192,1.5668824911117554,10.0,1.5077922,2.876807928085327,10.0,1.4947826,3.119241237640381,13.0,1.4252193,3.75650691986084
1947.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,0.0,0.0,0.0,0.0,0.0,0.0,portrait,7.0,1.262438,2.2948124408721924,7.0,1.2405896,2.2248713970184326,7.0,1.3169568,2.0984089374542236,9.0,1.416973,3.2478673458099365,11.0,1.5411035,4.232698440551758,13.0,1.5411035,3.790858507156372
1948.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,still_life,5.0,1.1319232,1.7291960716247559,6.0,1.118034,1.626739501953125,6.0,1.1625673,1.8533331155776978,8.0,1.1592023,2.317150831222534,5.0,1.0716518,1.6520367860794067,7.0,1.1490486,2.4138829708099365
1949.001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abstract,13.0,2.193741,3.4698777198791504,13.0,2.3116553,3.5385138988494873,9.0,1.824315,2.931835651397705,21.0,2.1919599,5.311540126800537,21.0,2.186607,5.102363109588623,11.0,1.6700486,3.2467727661132812
1949.002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abstract,14.0,2.2132413,3.9707720279693604,19.0,2.4334903,4.585582733154297,15.0,2.2690167,4.110428333282471,48.0,3.4618456,10.505000114440918,35.0,3.2679791,7.437164306640625,32.0,3.2355447,7.617578506469727
1952.014,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,landscape,7.0,1.4279574,2.1914591789245605,12.0,1.8791621,3.475471258163452,9.0,1.7432907,2.704087257385254,10.0,1.3664507,3.0658481121063232,12.0,1.5637496,3.139725685119629,15.0,1.6932771,4.00566291809082
1953.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,shape,7.0,1.3317047,1.9823222160339355,6.0,1.3050383,1.934984803199768,9.0,1.2747549,2.6928253173828125,16.0,1.9304307,5.278745174407959,17.0,1.8687396,5.601701259613037,16.0,1.5737098,4.866537570953369
1953.003,0.0,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.03,0.0,14.47,0.0,0.0,0.0,figure,7.0,1.3375584,2.1669869422912598,7.0,1.3520818,1.9106340408325195,7.0,1.2869538,2.0342025756835938,13.0,1.6201851,4.529905796051025,15.0,1.711633,5.060664176940918,15.0,1.7275344,4.77559232711792
1953.004,0.22,0.04,0.44,24.81,0.02,0.0,0.0,0.0,59.32,0.0,14.84,0.21,0.02,0.05,rectangle,10.0,1.8264549,2.803257465362549,11.0,1.9018905,3.109614849090576,10.0,1.8307273,2.9154601097106934,24.0,2.328492,6.238654613494873,19.0,2.100967,4.835320949554443,16.0,2.0271595,4.308882236480713
